100 
164,184
89,89
17,126
200,6
51,9
27,132
144,188
40,44
193,27
135,54
89,139
158,196
185,73
39,124
138,95
93,145
130,161
16,144
104,191
139,112
148,89
76,28
65,156
57,59
91,92
124,166
91,9
180,183
173,177
31,17
119,7
102,161
135,11
33,67
47,149
193,162
37,54
59,9
53,171
136,102
193,117
40,191
112,11
74,6
99,118
172,174
24,12
26,167
116,173
109,2
1,58
72
96,158
161,4
22,59
83,2
38,23
103,47
194,19
14,15
74,147
195,145
119,181
48,57
70,172
85,157
159,123
78,159
175,196
131,11
62,41
170,18
103,147
34,178
24,51
32,88
83,3
178,51
24,15
200,72
32,101
64,116
86,53
146,179
0,47
87,103
152,185
28,184
144,59
139,17
169,128
169,25
158,58
129,95
34,53
150,198
112,174
107,112
165,3
65,44
